"liv"	"die"	"rea"	"des"	"pas"	"dur"	"fre"	"att"	"con"	"det"	"cry"	"pla"	"met"	"cou"	"exp"	"pre"	"not"	"arr"	"cea"	"rep"
"26"	2	2	2	2	1	1	2	1	1	2	2	0	1	2	2	1	1	0	0	1
"27"	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	0	1	0	0	1
"28"	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1
"29"	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	0	0	1
"30"	1	1	2	2	1	2	1	1	1	1	2	1	2	2	2	0	0	0	0	1
"31"	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	0	2	2	1
"32"	1	1	1	1	2	1	1	1	0	0	2	2	2	2	0	2	2	0	1	1
"33"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
"34"	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	0	0	2	1
"35"	1	1	0	1	0	0	0	1	1	1	2	0	2	1	1	0	0	0	1	1
"36"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1
"37"	1	2	2	1	1	2	1	0	1	0	1	1	2	0	2	0	0	2	2	1
"38"	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	0	0	0	1	1
"39"	2	2	2	2	1	1	1	2	1	2	2	1	2	2	2	2	1	1	1	1
"40"	1	2	1	2	2	1	0	2	1	1	1	1	2	2	2	2	2	0	2	1
"41"	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1
"42"	1	1	1	2	1	0	0	2	1	1	2	2	2	2	2	2	1	2	1	1
"43"	2	2	2	2	0	1	1	2	1	1	1	2	1	2	1	0	0	0	0	1
"44"	2	2	2	2	2	1	1	2	1	1	2	2	2	2	2	1	2	1	1	1
"45"	2	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2	2	0	2	1
"46"	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	0	0	0	2	1
"47"	2	NA	1	2	2	1	1	2	0	2	2	2	0	1	1	2	0	0	0	1
"48"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"49"	1	2	2	2	2	1	1	2	1	2	2	2	2	1	2	2	0	2	0	1
"50"	2	2	2	2	1	0	0	2	2	2	1	2	2	2	2	1	2	0	2	1
"51"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"52"	2	2	2	2	2	1	1	2	2	2	1	1	2	1	1	2	2	1	1	1
"53"	2	2	1	2	0	0	1	2	2	2	2	2	2	2	2	0	0	0	2	1
"54"	1	1	1	2	1	2	2	1	1	1	2	2	2	0	2	1	0	0	0	1
"55"	0	0	0	1	1	1	1	1	1	1	2	1	2	1	1	1	0	0	0	1
"56"	1	2	1	1	0	2	2	1	1	2	2	1	1	1	2	1	0	0	0	1
"57"	0	0	2	2	2	1	1	2	1	2	2	1	2	1	1	1	2	0	0	1
"58"	1	2	2	2	2	0	1	2	0	0	2	2	2	2	1	0	0	0	2	1
"59"	1	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1
"60"	1	2	2	2	0	1	1	1	1	1	2	1	1	2	1	0	2	1	1	1
"61"	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	0	1
"62"	1	2	2	2	2	1	1	NA	1	1	2	1	2	1	1	1	1	0	2	1
"63"	2	2	2	2	1	1	1	2	2	2	2	0	0	1	1	1	1	1	0	1
"64"	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	1	1	2	1
"65"	1	0	0	1	0	0	0	0	1	0	2	0	NA	0	1	0	1	0	1	1
"66"	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	0	0	1	1
"67"	1	2	0	2	2	2	1	2	1	1	2	2	2	2	1	1	0	1	2	1
"68"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	2	1
"69"	2	2	1	2	0	2	1	1	0	0	2	1	0	1	1	0	2	0	0	1
"70"	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	0	0	0	1	1
"71"	1	2	1	1	0	1	1	0	0	1	2	2	2	1	1	0	1	0	1	1
"72"	1	1	1	1	1	0	1	2	1	1	2	1	1	2	1	0	0	1	2	1
"73"	1	1	2	1	1	1	1	1	1	2	2	0	0	1	1	0	1	0	1	1
"74"	1	2	2	2	1	2	1	2	1	2	2	1	2	2	1	1	2	1	2	1
"75"	1	2	1	2	2	1	1	2	1	2	2	2	2	2	1	0	1	0	2	1
"76"	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	2	0	2	1	1
"77"	1	1	1	1	1	1	0	1	1	2	1	2	2	2	0	0	0	0	2	1
"78"	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	0	0	1	2	1
"79"	2	2	1	2	2	2	1	2	2	2	2	1	1	2	2	0	0	0	0	1
"80"	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	1	2	2	2	1
"81"	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	1
"82"	1	2	1	1	1	2	1	1	1	1	2	1	0	1	0	0	0	0	2	1
"83"	2	2	2	2	2	2	2	2	2	2	NA	2	2	2	2	1	1	1	0	1
"84"	1	1	1	1	1	1	0	0	2	1	1	0	2	2	1	0	0	0	2	1
"85"	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	2	1
"86"	1	1	1	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2	1
"87"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	1
"88"	0	2	1	1	1	0	2	2	2	1	1	1	1	1	1	1	1	1	2	1
"89"	1	2	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	0	1	1
"90"	2	2	2	2	2	1	2	2	1	2	2	0	2	1	1	0	0	2	2	1
"91"	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1
"92"	2	2	1	2	2	1	1	1	1	1	1	1	2	2	1	0	1	1	1	1
"93"	0	1	0	1	0	1	1	1	1	1	2	2	2	2	2	2	1	1	2	1
"94"	1	2	1	2	2	1	1	0	2	2	1	0	0	0	1	0	0	0	2	1
"95"	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"96"	1	1	2	1	2	0	0	1	0	1	2	2	1	2	0	1	2	0	1	0
"97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"98"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100"	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	0	0	2	0
"101"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"102"	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0
"103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"104"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"105"	2	2	2	1	1	2	1	2	0	2	2	1	2	2	0	1	0	1	1	0
"106"	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"107"	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0
"108"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"109"	1	2	0	1	1	1	0	1	0	0	2	1	0	1	0	1	2	0	0	0
"110"	1	2	2	2	1	0	0	2	1	2	1	2	1	2	2	2	0	0	2	0
"111"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"112"	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"113"	1	1	0	1	1	1	1	1	0	0	2	1	0	1	0	0	2	1	1	0
"114"	1	2	2	2	1	1	1	2	1	1	1	2	1	2	1	1	2	0	1	0
"115"	2	2	1	2	1	1	1	2	1	1	2	1	2	2	1	0	0	0	0	0
"116"	1	2	1	NA	1	2	1	NA	1	1	2	1	1	1	1	0	0	0	1	0
"117"	1	1	1	2	2	2	1	2	1	NA	2	2	2	2	1	1	2	1	1	0
"118"	2	2	2	2	2	1	1	1	1	1	2	0	1	2	1	0	0	0	2	0
"119"	1	1	2	1	1	0	0	1	1	1	2	1	2	2	2	0	0	0	2	0
"120"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"122"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"123"	2	2	1	2	NA	1	0	0	NA	NA	1	2	2	NA	2	NA	1	0	0	0
"124"	2	2	2	2	1	0	0	1	1	2	1	1	1	2	1	0	0	1	1	0
"125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"126"	2	2	2	2	2	2	2	1	1	1	2	1	2	1	NA	1	0	0	2	0
"127"	1	1	1	1	1	0	0	1	0	1	2	0	2	1	0	0	0	0	1	0
"128"	1	1	2	1	0	0	0	1	0	1	0	2	2	2	1	1	2	1	0	0
"129"	2	2	0	1	0	1	0	1	1	1	2	2	2	1	1	0	0	1	0	0
"130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"131"	NA	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"132"	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0
"133"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"134"	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	2	0
"135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"136"	1	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0
"137"	0	1	0	1	1	0	0	1	1	1	2	0	1	1	0	0	2	0	0	0
"138"	0	1	1	1	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0
"139"	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	0
"140"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"141"	2	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	2	1	1	0
"142"	2	2	2	2	1	1	1	2	2	1	2	1	2	1	1	1	2	0	1	0
"143"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"144"	1	1	1	1	1	2	1	1	1	1	2	0	2	1	1	0	0	0	0	0
"145"	1	1	1	1	1	0	1	0	1	1	2	0	2	1	0	0	1	0	1	0
"146"	2	1	1	1	1	1	2	2	2	1	2	0	2	2	2	2	1	2	1	0
"147"	2	2	2	2	2	1	1	1	1	1	2	1	2	1	1	1	2	0	0	0
"148"	2	2	1	2	1	0	1	2	1	2	2	2	2	2	2	1	0	1	2	0
"149"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"150"	1	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	2	0	1	0
"151"	0	2	0	1	0	2	0	0	2	0	0	2	2	1	1	0	2	0	2	0
"152"	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	1	0	2	0
"153"	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
"154"	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	0	0
"155"	1	2	2	2	2	1	1	1	1	1	2	1	2	2	1	1	2	0	1	0
"156"	1	2	1	2	1	1	1	1	0	0	2	1	0	1	1	0	0	0	1	0
"157"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"158"	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	0	0	0	1	0
"159"	1	2	2	2	0	1	1	2	1	1	2	2	2	1	1	1	0	0	2	0
"160"	2	1	1	1	2	0	0	1	1	1	1	2	0	0	0	0	2	0	0	0
"161"	1	1	0	1	0	1	1	1	0	1	2	0	0	1	0	0	2	0	2	0
"162"	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	0	1	2	0
"163"	1	1	2	2	2	1	1	2	1	1	2	1	2	2	1	0	1	0	1	0
"164"	2	2	1	2	2	2	2	2	1	0	2	1	2	2	2	1	1	0	1	0
"165"	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"166"	1	0	2	2	2	0	0	1	0	0	2	2	0	2	2	1	0	0	2	0
"167"	1	1	1	1	2	2	1	1	1	1	2	1	0	1	1	1	0	0	2	0
"168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"169"	2	2	1	2	2	2	2	2	2	1	2	2	0	2	2	2	0	0	2	0
"170"	1	2	2	1	1	1	1	1	1	1	2	1	0	1	1	1	1	2	2	0
"171"	1	2	2	2	1	1	1	1	0	1	2	1	0	1	1	2	0	0	2	0
"172"	1	2	1	2	2	2	2	2	1	2	2	0	2	1	1	0	0	0	2	0
"173"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"175"	2	2	2	2	2	1	1	2	1	2	2	0	2	1	1	0	0	0	1	0
"176"	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0
"177"	2	2	2	1	1	1	1	2	1	1	1	1	0	1	2	0	2	0	0	0
"178"	1	1	0	1	0	0	0	1	0	0	2	0	2	1	1	0	0	0	2	0
"179"	2	2	1	2	1	0	2	1	1	0	1	0	0	2	1	0	0	1	2	0
"180"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"181"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"182"	1	1	1	1	1	1	1	1	1	1	1	1	0	2	2	0	0	0	0	0
"183"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"184"	1	2	2	1	2	1	1	1	NA	1	2	0	0	NA	0	0	0	0	2	0
"185"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"186"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"187"	0	0	0	1	0	1	1	1	1	1	2	0	2	1	2	0	1	0	0	0
"188"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"189"	2	2	2	2	0	2	2	2	1	2	0	2	2	0	1	1	2	2	0	0
"190"	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	0	0	0	0	0
"191"	1	2	2	1	0	1	1	2	0	0	2	2	2	1	0	0	0	1	0	0
"192"	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0
"193"	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0
"194"	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
"195"	1	1	1	1	1	1	0	1	1	1	1	0	0	2	1	0	0	0	1	0
"196"	1	2	2	1	2	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0
"197"	1	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	0	1	0
"198"	2	2	1	1	1	1	1	1	1	2	2	2	2	0	1	1	0	0	2	0
"199"	1	1	2	1	0	1	1	2	1	1	1	1	2	2	1	1	0	0	2	0
"200"	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	2	1	1	0
"201"	1	2	2	2	1	1	1	1	1	0	2	1	2	1	1	0	1	1	2	0
"202"	1	1	1	1	1	1	1	1	1	1	2	0	0	2	1	0	0	0	1	0
"203"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"204"	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	0
"205"	2	2	1	2	1	2	1	2	1	1	2	1	2	1	1	1	2	0	2	0
"206"	1	2	2	1	2	1	0	1	1	2	2	2	1	2	2	0	2	2	2	0
"207"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"208"	1	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	0	1	0
"209"	1	2	0	2	1	0	0	0	0	0	1	1	2	2	0	0	0	0	2	0
"210"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"211"	2	1	2	2	1	2	2	2	2	NA	1	0	2	2	2	0	0	0	2	0
"212"	1	2	2	2	2	2	2	1	1	0	2	1	2	2	2	2	2	1	2	0
"213"	1	2	1	2	1	1	0	0	1	1	2	0	2	2	0	0	2	2	1	0
"214"	1	1	2	1	2	0	1	1	0	1	1	1	0	1	1	1	2	2	2	0
"215"	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	0	1	0
"216"	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	0	1	0	2	0
"217"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"218"	2	1	0	2	0	2	1	2	1	2	2	2	0	2	1	0	0	0	1	0
"219"	1	1	0	2	2	1	1	1	1	1	1	2	2	2	2	1	0	1	2	0
"220"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"221"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"222"	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	0	0	0	0
"223"	1	2	2	2	2	2	2	2	1	1	2	1	2	1	1	1	1	0	0	0
"224"	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	0	0	0	1	0
"225"	2	2	2	2	1	2	2	2	1	1	NA	2	2	2	1	0	0	0	2	0
"226"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	0
"227"	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	0	0	1	0
"228"	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	0	0	0	2	0
"229"	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0
"230"	1	2	2	1	1	2	1	1	1	1	2	1	2	1	2	1	0	1	0	0
"231"	1	1	1	1	0	0	1	1	1	2	2	1	1	2	1	1	0	0	1	0
"232"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"233"	1	2	2	2	2	1	1	2	1	2	2	1	2	1	1	1	2	0	0	0
"234"	2	2	2	2	2	1	2	2	1	2	2	2	2	1	2	1	0	0	2	0
"235"	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	0	0	1	0
"236"	1	2	1	2	1	2	1	2	1	1	2	1	1	1	2	1	0	1	2	0
"237"	1	1	0	1	0	1	1	0	0	1	2	1	2	1	0	0	2	0	1	0
"238"	2	2	1	2	2	1	2	2	1	2	1	1	1	1	2	1	1	2	0	0
"239"	1	2	1	1	1	0	0	0	0	0	2	1	2	1	0	0	1	0	2	0
"240"	1	2	2	2	1	2	2	2	1	2	1	1	1	2	2	1	2	0	0	0
"241"	1	2	1	2	2	1	1	1	1	1	2	1	2	2	1	0	2	1	2	0
"242"	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	0	2	0
"243"	2	1	1	1	1	0	0	2	1	2	2	2	2	1	1	2	0	0	2	0
"244"	1	1	1	1	1	0	0	2	1	1	2	1	2	2	1	1	2	0	1	0
"245"	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0
"246"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"247"	1	2	2	2	2	1	1	1	2	2	2	0	2	2	1	0	0	0	0	0
"248"	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	0	2	0	1	0
"249"	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0
"250"	2	2	2	1	2	0	1	1	1	NA	2	0	2	2	1	0	0	2	2	0
"251"	1	2	1	1	2	1	1	1	1	2	1	0	2	1	1	0	0	1	1	0
"252"	2	2	2	2	2	2	1	2	1	1	1	1	2	1	1	2	2	0	2	0
"253"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"254"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"256"	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	2	0
"257"	1	2	2	2	2	2	0	1	2	2	1	0	2	2	2	0	0	0	2	0
"258"	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	0
"259"	1	2	2	1	0	2	1	2	0	1	2	2	2	2	1	2	1	0	0	0
"260"	2	2	2	2	2	0	2	2	2	NA	2	0	2	2	0	0	0	0	0	0
"261"	1	2	0	2	1	1	1	2	0	0	2	1	1	1	1	1	2	0	1	0
"262"	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	1	0
"263"	1	1	2	1	1	1	1	2	1	1	2	1	2	0	1	1	0	1	0	0
"264"	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	0	0	1	0
"265"	2	2	2	2	0	1	1	1	1	2	2	1	2	2	1	2	0	0	2	0
"266"	2	2	2	2	1	2	1	1	1	2	0	1	2	1	2	1	0	0	2	0
"267"	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	0	0	0	1	0
"268"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"269"	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	0	2	0
"270"	1	2	1	2	1	2	2	2	1	2	2	0	2	2	1	0	0	0	0	0
"271"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"272"	2	2	1	2	1	2	1	1	1	2	2	1	2	2	1	0	2	0	2	0
"273"	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0
"274"	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	2	1	1	0
"275"	1	1	1	1	1	0	1	1	1	1	2	1	2	1	2	1	0	0	1	0
"276"	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"277"	0	0	2	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0
"278"	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	2	0	0	0
"279"	2	2	2	2	1	1	1	2	1	2	2	2	2	2	1	1	2	0	1	0
"280"	2	2	NA	2	2	1	1	2	2	1	2	2	2	2	2	1	0	0	0	0
"281"	1	2	1	1	2	1	0	1	1	2	2	1	0	2	1	1	1	0	1	0
"282"	2	2	1	2	1	2	1	2	1	1	2	0	2	2	2	0	1	0	2	0
"283"	0	1	0	1	0	1	1	1	0	1	2	1	2	1	1	0	0	0	1	0
"284"	1	2	2	2	1	2	2	1	1	2	2	2	2	2	2	1	1	0	2	0
"285"	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	0	1	2	0
"286"	2	2	1	2	1	2	1	1	1	2	2	0	1	2	1	0	2	1	0	0
"287"	2	2	1	2	1	2	2	1	2	1	1	1	2	1	1	1	2	1	2	0
"288"	1	1	1	1	1	1	1	1	1	1	2	0	NA	1	1	0	0	0	2	0
"289"	2	2	2	2	1	2	2	2	1	2	2	1	2	1	2	1	1	1	2	0
"290"	1	1	1	2	1	2	2	2	1	2	2	2	2	2	1	1	0	0	2	0
"291"	1	1	1	2	2	1	1	1	1	0	2	2	2	2	0	0	0	0	2	0
"292"	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	0
"293"	2	2	2	1	1	2	1	2	1	0	2	2	1	2	2	0	0	0	1	0
"294"	1	1	2	2	1	2	1	1	1	2	2	1	1	2	2	0	1	1	2	0
"295"	0	2	2	2	1	1	1	1	1	1	2	1	2	1	1	0	0	0	2	0
"296"	2	2	2	2	2	2	2	2	2	NA	2	2	2	2	2	2	2	0	2	0
"297"	2	2	0	2	2	1	1	2	2	1	2	0	2	2	1	1	1	0	1	0
"298"	2	2	2	2	1	2	2	2	1	1	2	2	1	1	1	1	2	1	2	0
"299"	2	1	0	1	1	1	1	2	1	1	2	2	2	2	1	0	2	0	1	0
"300"	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	0	0	0	2	0
"301"	1	2	1	1	0	1	1	1	1	0	2	0	0	1	1	1	0	0	0	0
"302"	2	2	2	2	2	2	2	1	1	1	2	1	2	2	2	2	0	0	0	0
"303"	1	1	1	2	2	1	1	1	2	2	1	0	0	1	2	1	1	1	1	0
"304"	1	0	1	0	1	1	0	0	1	0	2	0	0	1	1	1	0	0	2	0
"305"	1	2	1	2	2	1	1	2	2	1	2	0	2	2	1	0	0	0	2	0
"306"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"307"	1	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	0
"308"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"309"	1	1	1	2	2	1	1	1	2	2	2	2	1	2	1	1	1	2	0	0
"310"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"311"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"312"	1	2	1	1	2	0	0	1	1	0	2	1	0	1	0	0	0	0	0	0
"313"	2	2	0	2	1	1	1	2	1	2	1	2	2	2	2	1	0	1	2	0
